Vendor Code,Name of vendor,Street,City
10038,ATLAS PLASTICS (PVT) LTD,,Peliyagoda
10039,ATLAS TRADE CENTRE,NO5A Abdul Hameed Street,Colombo 12
10040,ATTOTECH SYSTEMS ENGINEERING,,Yakkala
10041,A.P. ENTERPRISES (PVT) LTD,"NO. 39 MALIBAN STREET,",Colombo 11
10042,AVON TRADER,Bandaranayake Mawatha,Colombo 12
10043,BARWIL MERIDIAN NAVIGATION LTD.,,Colombo 03
10044,BEARINGS & SPARES (PVT) LTD,"No 83 1/1 B, Galle Road",Mount Lavinia
10045,BELA INTERNATIONAL (PVT) LTD.,,
10046,BF LANKA (PVT) LTD,,Papiliyana
10047,BIANCO (PVT) LTD,655/1 GUNATHILAKE GARDENS,NARAHENPITA
10048,BOSTTON EQUIPMENT (PVT.) LTD.,,Colombo 10
10049,BROWN & COMPANY PLC,481 T.B. Jayah Mawatha,Colombo 10
10050,BUSINESS FORMS LTD,Orugodawatta,Wellampitiya
10051,C.G.C.ENTERPRISES,,Colombo 14
10052,C.W.MACKIE PLC,36 D.R.Wijewardane Mawatha,Colombo 10
10053,CAMBRIDGE TRADERS,,Colombo 12
10054,CAPITOL NETWORKS (PVT) LTD.,Deanston House,Colombo 03
10055,CPC Agrifoods Limited,,Colombo 01
10056,CARPENTER'S SELANICA,Kandy Road,Kelaniya
10057,CENTRAL AGENCY,1-C R.A De Mel Mawatha,Colombo 05
10058,CENTRAL BEARINGS & MACHINERY (PVT),No2A CBM House,
10059,CENTRAL ELECTRICALS LANKA (PVT) LTD,80 Maliban Street,
10060,CENTRAL FLEXI PACK (PVT) LTD,,Pallekella
10061,CENTRAL INDUSTRIES PLC,No 312 Nawala Road,Rajagiriya
10062,CEREAL PRODUCTS (PVT) LTD.,,Kundasale
10063,CEYLON COLD STORES PLC.,,Colombo 02
10064,CEYLON ESSENCE & BEVERAGE,15 Arthur's Place,Dehiwala
10065,CEYLON HEAVY INDUSTRIES &,,Athurugiriya
10066,CEYLON LINUX (PVT) LTD.,,Kohuwala
10067,CEYLON OXYGEN LIMITED,50 Sri Pannananda Mawatha,Colombo 15
10068,CEYLON PETROLEUM CORPORATION,,Colombo 03
10069,CEYLON TAPES (PVT) LTD.,Off R.A.De Mel Mawatha,Colombo 04
10070,CEYLON WEIGHING MACHINES LITMITED,,Colombo 04
10071,CHAN AUTO TRADERS,High Level Road,Pannipitiya
10072,CHANDRIKA GARMENTS,,Boralesgamuwa
10073,CHEMICAL INDUSTRIES (COLOMBO) PLC.,,Colombo 02
10074,CITY CYCLE STORES,,Colombo 04
10075,CITY ELECTRIC COMPANY,06 DE FONSEKA PLACE,COLOMBO 04
10076,CITY GAS LANKA (PVT) LTD,Base Line Road,Colombo 14
10077,CLEAN TECHNOLOGIES (PVT) LTD,,Dehiwala
10078,CLEANSING PRODUCTS (PVT) LTD,,Dehiwala
10079,CMC ENGINEERING EXPORT GMBH,346 Nawala Road,Rajagiriya
10080,COCO LANDS LTD.,Renuka House,Colombo 02
10081,COLOMBO CHEMICALS,Honnantara,Piliyandala
10082,COLOMBO FLAVOR FRAGRANCES,116/3/17,Colombo 11
10083,COLOMBO MACHINERY & EQUIPMENT PVT,(Off Thimbirigasyaya Road),Colombo 05
10084,COLOMBO PAINT CENTRE,,Colombo 02
10085,COLONIAL ELECTRICAL EQUIPMENT,,Colombo 10
10086,COLONIAL ENGINEERING (PVT) LTD,,Colombo 12
10087,COLONIAL HARDWARE STORES,,Colombo 12
10088,COLONIAL NON FERROUS (PVT) LTD,,Colombo 12
10089,CONCORD HARDWARE ENTERPRISES,,Colombo 12
10090,COUNTRY COTTAGE TEAS (PVT) LTD.,,
10091,D. I. F. TECHNOLOGY,20 Biyagama Road,COLOMBO
10092,D.D.INDRANI HEMALATHA,,
10093,D.R.MARKETRING COMPANY (PVT) LTD,,
10094,D.S.S.PRINTERS INDUSTRIES,,
10095,DAINTEE LIMITED,,
10096,DATA ACQUISITION DESIGN (PVT) LTD,"No 235/1 Galle Road,",Dehiwala
10097,DAX INTEGRATED SYSTEMS (PVT) LTD,Koswatta,Battaramulla
10098,ASIYAN UNI ENTERPRISES LANKA (PVT),105 Rosmead Place,Colombo 07
10099,DDP PACKAGING (PVT) LTD,,
10100,DEBUG COMPUTER PERIPHERALS (PVT),58 2nd Lane,Colombo 06
10101,DEDIGAMA & COMPANY,,
10102,DEEPAL MOTOR STORES,,
10103,DELGODA BATTERY & TYRE WORKS,,
10104,DELMEGE INTERIOR DECOR (PVT) LTD,,
10105,DELMEGE MEDICAL (PVT) LTD.,,
10106,DINITI ADVERTISING,Malapalla,Homagama
10107,DKW PLASTIC INDUSTRIES,,Hatton
10108,SIYON FOOD INGREDIENTS,Winnayalankara Mawatha,Horana
10109,DRIVEMATIC SERVICES (PVT) LTD.,,Narahenpita
10110,DUPLEX TRADE & MANUFACTURES,,Wellewatte
10111,E NET SOLUTIONS,,
10112,E.P.G.ELECTRICALS,,Maharagama
10113,EAST LINK ENGINEERING CO. (PVT),No 241/31,Colombo 05
10114,EAST WEST MARKETING (PVT) LTD,,Colombo 13
10115,EAST-WEST FOODS ( PVT ) LTD,,Colombo 15
10116,ECONOPACK INDUSTRIES ( PVT) LTD,Werahera,Boralesgamuwa
10117,EDNA CHOCOLATES (CEYLON) LTD,,Colombo 14
10118,ELCARDO INDUSTRIES (PVT.) LTD.,,Nawala
10119,ELECTRO- SERV LANKA (PVT) LTD,No 247 2/1 Stanley Thilakrathne Maw,Nugegoda
10120,ELECTRO METAL PRESSING (PVT) LTD,Lot No 26 Templeburge Industrial Es,Homagama
10121,ELECTRODES MARKETING SERVICES,,Piliyandala
10122,"ELITE RADIO & ENGINEERING CO.,",,Narahenpita
10123,ENVEE SUPPLIES (PVT) LTD.,,Nawala
10124,ENVIROEQUIP (PVT) LTD,No 87 Old Kottawa Road,Nugegoda
10125,EROS EQUIPMENTS,,Biyagama
10126,EUROPEAN CARBON PRODUCTS,Panchikawatta Road,Colombo 10
10127,EWIS PERIPHERALS (PVT) LTD.,142 Galle Rd,Colombo 03
10128,EXCELLENT AUTO TINKERING & PAINTING,,Athurugiriya
10129,EXEL EQUIPMENT (PVT) LTD.,446 R. A. De Mel Mawatha,Colombo 03
10130,EXO LANKA TRADERS,,Colombo 10
10131,EX-PACK CORRUGATED CARTONS PLC,No 79 Pattiwila Road,Kelaniya
10132,FALCON TRADING (PVT.) LTD.,334 T.B. JAYAH MAWATHA,COLOMBO 10
10133,FARKEM ( PVT) LTD,,Ratmalana
10134,FAST PRINT SERVICE (PVT) LTD.,,Ratmalana
10135,FERRO KITCHENS (PVT) LTD,,Colombo 07
10136,FILTRENE (PTE) LTD,570 Galle Road,Panadura
10137,FINE LINE SUPPLIERS,,Colombo 11
10138,FIRST CITY TRADES & AGENCIES,Liberty Plaza,Colombo 03
10139,FMJ PLASTICS (PVT) LTD,Henamulla,Panadura
10140,G. T. RATHGAMA,Samupakara Mawatha,Homagama
10141,G.D.Somadasa - People's Bank,,Ranala
10142,GALGAMUWA EXPORT PROCESSING CO.,Kokwewa,Galgamuwa
10143,GAMARA STATIONERIES,Gramodaya Mawatha,Ranala
10144,GAMINI FURNISHERS & TIMBER STORES,,Ranala
10145,GENERAL EQUIPMENTS (PVT) LTD.,,Colombo 02
10146,GENERAL INNOVATIONS (PVT) LTD.,No 137/3 Nawala Road,colombo 5
10147,GENIUS ASSOCIATES (PVT) LTD,,Nugegoda
10148,GERMANIA COLOMBO (PVT) LTD,,Kelaniya.
10149,GLAXO WELLCOME CEYLON LTD,Kaldemulla,Moratuwa
10150,GLOBAL TRADE COMBINE (PVT) LTD,175 PILIYANDALA ROAD,MAHARAGAMA
10151,Golden Trading Company,,Colombo 12
10152,GOLDEN EAGLE PRINTING & PACKAGING,,Colombo 10
10153,GOLDEN PALATE,,Angoda
10154,GOOD WILLS TRADING & CO;,,Colombo 12
10155,GRIP DELMEGE (PVT) LTD,,Colombo 06
10156,GRIP MARKETING (PVT) LTD,,Nugegoda
10157,GTA REFRIGERATION (PVT) LTD,,Kotte
10158,GUNAPALA HARDWARE,,Homagama
10159,H.N.INTERNATIONAL,,Pitakotte
10160,HANTS SHOW ROOM,,Colombo 08
10161,HARA ENTERPRISES,,Colombo 11
10162,HARISCHANDRA ELECTRONICS,,Athurugiriya
10163,HARISCHANDRA MILLS ( DISTRIBUTORS ),,Colombo 08
10164,HAYLEYS AGRO PRODUCTS LTD.,Ekala,Ja-Ela
10165,HAYLEYS CONSUMER PRODUCTS LIMITED,,Colombo 10
10166,HAYLEYS ELECTRONICS LTD.,Union Place,Colombo 02
10167,Hayleys Aventura (Pvt) Ltd,400 Deans Road,Colombo 10
10168,HEATING EQUIPMENT (PVT) LTD,Wiferama Junction,Nugegoda
10169,HEMSONS INTERNATIONAL (PTE) LTD,,Colombo 01
10170,HENEX ASSOCIATES (PVT) LTD,Nawala Road,Nugegoda
10171,HERCULES GATES & SHUTTERS,118/5 Samagipura Mw,Maharagama
10172,HICHEMICALS (PVT) LTD,,Colombo 12
10173,HIDEKI INTERNATIONAL (PVT) LTD.,,Colombo 06
10174,HINGURANA DISTILLERIES (PVT) LTD,Samanabedda,Hanwella
10175,HI-TECH STAINLESS STEEL FABRICATORS,229/18 Joseph Street,Negambo
10176,HUNTER & COMPANY PLC,No45/75 Narahenpita Rd,Colombo
10177,I.Gunasekara,Nugayaya,Wellawaya
10178,ICEMAN APPLIANCES LANKA (PVT) LTD,,Kandana
10179,ICEMAN TECHNOLOGIES (PVT) LTD.,,Kandana
10180,INDUMINI SUPPLIERS,Undugoda Road,Ranala
10181,INDUSTRIAL SAFETY EQUIPMENT CO.,Nawala Road,Rajagiriya
10182,INFINITE TRADING COMPANY,,
10183,INTERNATIONAL MARINE SERVICES (PVT),,
10184,ISARO AUTOMATION SYSTEMS (PVT) LTD,Rawathawatte,Moratuwa
10185,ISHARA PRINTERS,Arukwatta,Padukka
10186,ISURU FIBREGLASS INDUSTRIES,149/4 Highlevel Road,Pannipitiya
10187,J. F. PACKAGING LIMITED,,Kotugoda
10188,J.W.PERERA ELECTRICALS (PVT) LTD.,,Colombo 11
10189,JALEEL & SONS,No372 Grandpass Road,Colombo 14
10190,JF & I PACKAGING (PVT) LTD.,Koswaththa,Thalangama
10191,JANITHA HYDRAULIC ENGINEERS,,
10192,JAYATHYA EGG SUPPLIERS,Makumbura,Pannipitiya
10193,JAYES TRADING COMPANY,,Colombo 11
10194,JEEWANI ENTERPRISES & CONSTRUCTION,,
10195,JETRO ELECTRIC CO:,,
10196,JINASENA (PVT) LTD,P.O.Box 196,Colombo 02
10197,JITINDRA (PVT) LTD,,
10198,JK TRADELINK (PVT) LTD,No. 44 Thalawathugoda Road,Pitakotte
10199,K. CHANDIMA PERERA,,Ganemulla
10200,K.D.P.KUMARA,,
10201,K.G.PLASTICS LTD,,
10202,K.I.K.ENGINEERING CO. (PVT) LTD.,No. 31 Major Gunarathna Mawatha,Mount Lavinia
10203,KAD TECHNOLOGIES,,
10204,KALA TRADERS (PVT) LTD,,
10205,KANNANGARA SAW MILLS,,
10206,KAY GEE ENTERPRISES,,
10207,KELANI VALLEY CANNERIES LTD.,,Hanwella
10208,KEMTEK (PVT) LTD.,,
10209,KEY GROUP THREE (PVT) LTD,,
10210,KINSTON IMPEX,,
10211,KRISHO MULTI TRADES (PVT) LTD,,
10212,KUMARA PAINT CENTER,,Biyagama
10213,KUSHAN STEELS,,Homagama
10214,L.P. ENTERPRISES,,Kaduwela
10215,L.S.PERERA SUPPLIERS,,
10216,LA CEYKEM INTERNATIONAL (PVT) LTD.,No6/1 Sri Dharmarama Road,Rathmalana
10217,LAL MOTOR STORES (PVT) LTD.,,
10218,LALAN ENGINEERING (PVT) LTD,344 Grandpass Road,Colombo 14
10219,LALAN ENGINEERING SERVICES (PVT),,
10220,LALAN PRINTING & PACKAGING (PVT),,Colombo 15
10221,LANKA CORRUGATED INDUSTRIES (PVT),,
10222,LANKA IOC PLC,World Trade Center,Colombo 01
10223,LANKA MILK FOODS ( CWE) PLC,,Ragama
10224,LANKA REFRACTORIES LTD,Meepe,Padukka
10225,LANKA SAFETY EQUIPMENT (PVT) LTD,23A Pagoda Road,Nugegoda
10226,LANKATECH HOLDINGS PVT LTD,No.47A Gangodawila,Nugegoda
10227,LAUGFS GAS PLC,NO: 14 R A DE MEL MAWATHA,COLOMBO 04
10228,LAWRENCES LOGISTICS (PVT) LTD.,40 Charles Place,Moratuwa
10229,LEXUS TRADING COMPANY,,
10230,LIBERTY MOTOR ASSOCIATES (PVT) LTD.,No 488 Sri Sangaraja Mawatha,Colombo 10
10231,LINK IMPORTS & EXPORTS (PVT) LTD.,,Wattala
10232,LOGISTICS ENGINEERING (PVT) LTD.,,
10233,LOUVRE BLIND PRODUCTS,,
10234,LUCKY AUTO HOUSE,,
10235,LUCKY AUTO TRADE (PVT) LTD,,
10236,LANKA WORLD LINK CHEM (PVT) LTD.,190/5 Ihalakaragahamuna,Kadawatha
10237,M D K FOOD PRODUCTS (PVT.) LTD.,,Horana
10238,"M.D. GUNASENA & CO, LTD",,
10239,M.MUTHIAH PILLAI & CO. (PVT) LTD,,
10240,MAHANAMA PAINT CENTRE,,
10241,MAJAL ELECTRICALS,,
10242,MALAN IRON WORKS,,
10243,MANEL ENTERPRISES,73 MAKEWITA JA-ELA,COLOMBO
10244,MARIO ENTERPRISES,,
10245,MARK - M HOLDINGS (PVT) LTD,No204/A Thalangama North,Battaramulla
10246,MARLBO TRADING COMPANY,02nd Floor,Colombo 10
10247,MASTER COMPUTERS SERVICES,,Colombo 03
10248,MATHURA STEELS (PVT) LTD,No:333/1/1 OLD MOOR STREET,COLOMBO 12
10249,MCLARENS LUBRICANTS LTD.,284 Vauxhall Street,Colombo 02
10250,MEGA HEATERS (PVT) LTD.,691 Station Road,Pannipitiya
10251,MENAKA ENTERPRISES,,
10252,METRO ELECTRICALS ( PTE ) LTD,,
10253,METROPOLITAN AIR-CONDITIONING &,Thalangama North,Battaramulla
10254,METROPOLITAN COMMUNICATIONS,85 Baybrook Place,Colombo 02
10255,METROPOLITAN COMPUTERS (PVT) LTD,No 85 Baybrook Place,Colombo 02
10256,METROPOLITAN OFFICE (PVT)LTD,,Colombo 08
10257,MICRO BYTECH TRADING,,Colombo 06
10258,MICRO ELECTRICAL ENGINEERING,,
10259,MICRO PACKAGING INDUSTRIES (PVT),,Malabe
10260,MIDAYA PACKAGING INDUSTRIES (PVT),,Colombo
10261,MILAN SAFETY EQUIPMENT (PVT) LTD.,,
10262,MILCO (PVT) LTD,,Narahenpita
10263,MILROY J.DE SILVA,,
10264,MINERAL SPRING (PVT) LTD,,Colombo 09
10265,MODERN PACK LANKA (PVT) LTD,,Colombo
10266,MOON HARDWARE CENTRE,,Colombo 12
10267,MULTIFORM CHEMICALS (PVT) LIMITED,No659 Elvitigala Mawatha,Colombo 05
10268,MULTI FORMS INTERNATIONAL (PVT) LTD,,Mount Lavinia
10269,MUNASCO,,
10270,POWER PLUS HOLDINGS (PVT) LTD,NO. 76 MEDAWELIKADA ROAD,RAJAGIRIYA
10271,N.I.S.MEDICALS (PVT) Ltd,40/A OLD AIRPORT ROAD,Rathmalana
10272,NADEERA PAINT CENTRE,,Nugegoda
10273,NAWAKRAMA (PVT) LTD,,
10274,NEAT LANKA PVT LTD,No.455/1/A GALLE ROAD,COLOMBO 06
10275,NEO TRIDENT,,
10276,NEW MOON STEEL,,
10277,NEW PANTRY FASHIONS,,Rajagiriya
10278,NEW SRIYA MOTORS,,
10279,NEW T & J DISTRIBUTORS,,Colombo
10280,NEWTON ELECTRICALS & LIGHTS,,
10281,NIKADO RICE PRODUCTS (PVT) LTD,,
10282,NIKINI AUTOMATION SYSTEMS (PVT) LTD,No249 Highlevel Road,Colombo 05
10283,NILKAMAL ESWARAN PLASTICS (PVT) LTD,NO. 328 MADAPATHA ROAD,PILIYANDALA
10284,NIMAL TRADERS,,
10285,NIPPY TRADING COMPANY,,
10286,NISACO,Borella Road,Athurugiriya
10287,NOVATECH (PVT) LTD.,,Wattala
10288,N-RICH (PVT) LTD.,,
10289,NUGEGODA ELECTRICALS,,
10290,NUKEMI NN (CEYLON) LTD.,,Colombo 07
10291,OWN GRAPHICS,,Nugegoda
10292,P. K. LALITHA PADMINI,,
10293,PACKAGE CARE LTD,,Peliyagoda
10294,PACKAGES LANKA (PRIVATE) LIMITED,Ekala,Ja Ela
10295,PACKWELL LANKA (PVT) LTD,36 Second Cross Street,Rathmalana
10296,Pan Audio Pvt Ltd.,Nadaraja Building,Colombo 03
10297,PC PARTNER,,
10298,PCLAND TRADING (PVT) LTD.,,
10299,PEE BEE MANAGEMENT SERVICES (PVT),35 UDA Industrial Estate,Homagama
10300,Lanka Sugar Company (Pvt.),,Colombo 04
10301,PERSONAL SAFETY EQUIPMENT (PVT) LTD,,
10302,PETTAH ESSENCE SUPPLIERS,No.45 Dam Street,Colombo 12
10303,PHOENIX INDUSTRIES LTD,,Welisara
10304,PGP GLASS CEYLON PLC,Poruwadanda,Horana
10305,PLASTIC PAKAGING (PTE) LTD,,Ratmalana
10306,POLY TEC MARKETING (PVT) LTD,No 63 Buthgamuwa Road,Rajagiriya
10307,POLYFILMS (CEYLON) LTD,,Kotugoda
10308,POLYPAK SECCO LIMITED,108 W.A.D.Ramanayake Mawatha,Colombo 02
10309,PRESHAMEL DISTRIBUTORS,,
10310,PRIMA CEYLON (PVT) LTD,,Rajagiriya
10311,PRINTCARE UNIVERSAL (PVT) LTD,,Kelaniya
10312,PUBUDU ENGINEERING (PVT) LTD.,,
10313,PYRAMID OIL MILLS,,Colombo 14
10314,QUALITRON (PVT) LTD.,,Rajagiriya
10315,QUALITY FLOORS (PVT) LTD.,,Kadawatha
10316,R. M. NANAYAKKARA & SONS,,
10317,R.C.ENTERPRISES,,Boralesgamuwa
10318,R.M.A.PLASTIC HOUSE,,
10319,RADIATOR HOUSE,,
10320,RAPID LANKA (PVT) LTD.,,
10321,RASHENI EGG CENTER,,Ja-Ela
10322,RATHNAYAKE STORES,,Kaduwela
10323,REED LANKA (PVT) LTD.,,Colombo 03
10324,REIMOO SONS LTD.,,
10325,Shaw Wallace Food Services Ltd.,,Colombo 03
10326,A.G. RENUKA SANJEEWANI,,
10327,RICHARD PIERIS DISTRIBUTORS LIMITED,,Dehiwala
10328,RICHARD PIERIS RUBBER PRODUCT LTD,,
10329,RICHARDSON PROJECTS (PVT) LTD.,Level 03,Colombo 03
10330,ROBERT AGENCIES (PVT) LTD.,88 N.H.M Abdul Cader Road,Colombo 11
10331,ROTAX (PVT) LIMITED,,Colombo 04
10332,ROYAL CERAMICS LANKA LTD,,Nugegoda
10333,ROYAL ELECTRICALS,,
10334,RUBY INTERNATIONAL ASSOCIATES,346 Old Moor Street,Colombo 12
10335,RUHUNU FOODS (PVT) LTD.,No.07 Kandy Industrial Park,Pallekele
10336,S.P. TRADING COMPANY,High Level Road,Homagama
10337,S. A. ELECTRICAL ENGINEERS &,,
10338,S.A.SILVA & SONS LANKA (PVT) LTD,148/1  KYNSEY ROAD,COLOMBO 08
10339,S.K.LABORATORY CHEMICALS SUPPLIES,Colombo Cenral Super Market Complex,Colombo 11
10340,S.LIYANAGE,,
10341,S.S.S.ENTERPRISES,,
10342,S.S.TRADERS,,Colombo 12
10343,SADA SARANA MOTORS (PVT) LTD,399 1/2 SRI SANGARAJA MAWATHA,COLOMBO 12
10344,SAM ASSOCIATES,"No 05 1st Lane, Old Kesbewa Road",Nugegoda
10345,SAMAGI OFFSET PRINTERS,,Negombo
10346,SAMIRA & AMILA,,
10347,SAMITH CRATE SUPPLIERS,No-672/2 Udugoda Road,Ranala
10348,SARCO LANKA ENGINEERING (PVT) LTD,,
10349,SATHSARA GRAPHICS,,
10350,SAYBOLT LANKA (PVT) LTD,,
10351,SCAN PRODUCTS HOLDING CO. LTD,,
10352,SCIENTIFIC BUSINESS SYSTEMS (PVT),"No.30 1 st Floor , Nanda Motors Bui",Colombo 07
10353,SEA WAY ENTERPRISES,,
10354,SEALINE TRADING COMPANY,53 MALIBAN STREET,COLOMBO 11
10355,SELMO (PVT) LTD,510/2 Negombo Road,Wattala
10356,SENVA TRADING CO.(PVT) LTD,,Colombo 12
10357,SHA LANKA TRADING,,Pettach
10358,SHANTHI PRINTERS,,Polgasowita
10359,SHARP GRAPHIC HOUSE (PVT) LTD,,Pannipitiya
10360,Litro Gas Lanka Limited,,Colombo 03
10361,SHERRY BAKERY EQUIPMENT SUPPLIERS,,
10362,SHIRAN POLY PACKS (PVT) LTD,,Malabe
10363,SIEDLES TRADING (PVT) LTD.,Liberty Plaza,Colombo 03
10364,SIGMA CHEMICALS (PVT) LTD.,,Colombo 03
10365,SIGMA ENTERPRISES,352 & 359 Sri Sangaraja Mw,Colombo 10
10366,SILVERTONES LTD.,,
10367,SINGER SRI LANKA PLC,Nawam mawatha,COLOMBO 02
10368,Sunil Wickramasinghe,,Rathnapura
10369,SKYRAY ELECTRONICS,,
10370,SM INTERNATIONAL (PVT) LTD.,NO:09 Dakshinarama Road,Mount Lavinia
10371,SOFTCOM SOLUTIONS (PVT) LTD,,Nugegoda
10372,Sonec Chem International ( Pvt ),,Panadura
10373,SOUTHERN AUTOMATION SYSTEMS (PVT),,Colombo 10
10374,SOUTHERN LIONS POLY PRINT (PVT),,
10375,SRI LANKA CASHEW CORPORATION,,Colombo 03
10376,ST. AUTHONY'S INDUSTRIES GROUP (PVT,,
10377,STAR PACKAGING (PVT) LTD,Nawagamuwa,Kaduwela
10378,STARRON TRADING (PVT) LTD,NO. 1 Dr. E.W. Adhikaram Mawatha,Pitakotte
10379,STATE PHARMACEUTICALS CORPORATION,,Colombo 07
10380,SUMATHI INFORMATION TECHNILOGIES,,Colombo 03
10381,SUPREME ENGINEERING (PVT) LTD,,
10382,SUREN COOKE AGENCIES (PVT) LTD,,Colombo 10
10383,SURVEY ENGINEERING CO. LTD.,15/5 KUDA EDANDA ROAD,WATTALA
10384,SVP TRADING CO.(PTE) LTD,,
10385,SWEDISH TRADING COMPANY (PVT) LTD.,Viking House,Mount Lavenia
10386,T - JAY ENTERPRISES (PVT) LTD,,
10387,T.H.YASAPALA DE SILVA,,
10388,T.A.D. ENTERPRISES (PVT) LTD,"Negombo Road, Mabola",Wattala
10389,TARS LANKA (PVT) LTD,,Homagama
10390,TASTYY (PVT) LTD,,Colombo 14
10391,TECHMAST AUTOMATION (PVT.) LTD.,312-A Kandy Road,Kadawatha
10392,TECH-MASTERS,,
10393,TEXUS PRINTING & PACKAGING,Kalalgoda,Thalawathugoda
10394,THAHIRS (PVT) LTD.,5 Quarry Road,Colombo 12
10395,THE COLOMBO GROCERIES CO. (PVT) LTD,,
10396,THE COLOMBO TRADERS LTD,1185/A ward place,Colombo 07
10397,THE GOLDEN KEY TRADING COMPANY LTD,,
10398,THE NEW JAYABIMA ENTERPRISES,,
10399,THE ONE,Maththegoda,Kottawa
10400,THE TONER SHOP (PVT) LTD,,
10401,THE ZENITH TRADING (PVT) LTD,319/5 Old Moor Street,Colombo 12
10402,THERMO ENGINEERING SERVICES LIMITED,,
10403,THERMO TEC MARKETING (PVT) LTD.,Pethiyagoda,Kelaniya
10404,THILHARA REF & ELECTRICALS,NO:84 Union Place,Colombo 02
10405,THILINA BURUSU WELADASALA,NO. 345 HIGH LEVEL ROAD,PANNIPITIYA
10406,THUSITH FURNITURE,,
10407,TILJAY COMPUTER FORMS (PVT) LTD,Galle Road,Ratmalana
10408,Trans Continental Packaging &,,Rajagiriya
10409,TRANS GRAPHICS (PVT) LTD,,
10410,TRANSMED INTERNATIONAL (PVT) LTD,,
10411,TUDAWE TRADING COMPANY (PVT) LTD,,Colombo 05
10412,TUFFLINE LTD,,Colombo 02
10413,U.K.ELECTRIALS,,
10414,U.P. ELECTRONIC ENTERPRISES,,
10415,UNI WALKER PACKAGING LTD.,,Colombo 11
10416,UNICAL (CEYLON) LTD,,
10417,UNICORN METALICS COMPANY (PVT),,Colombo 10
10418,UNI-DIL PACKAGING LIMITED,Moragala,Dekatana
10419,UNIKEN LANKA LTD.,,Colombo 10
10420,UNION CHEMISTS (PVT) LTD,,Colombo 02
10421,UNITED FOODSERVICES (PVT) LTD,,Colombo 02
10422,UNITED TRACTOR & EQUIPMENT (PVT),No683 Kattiyawatta Road,Wattala
10423,VARNA LIMITED,,Ratmalana
10424,VATHSALA TRADE CENTRE,,Colombo 11
10425,VISION PACKAGING (PVT) LTD,No 77 Borupana Road,Ratmalana
10426,VISKAM BROTHERS (PVT) LTD.,312/1 K Cyril C Perera Mawatha,Colombo 13
10427,VISUAL COMPUTING SYSTEMS (PVT) LTD.,,Colombo 08
10428,VISVAKA MARKETING (PVT) LTD,,Colombo 08
10429,VORTEX PAINTS (PVT) LTD,,Kelaniya
10430,W. H. HENDRIK & SONS LTD.,,Colombo 11
10431,W.M.M.G.J.S.P.WARNAKULASURIYA,,
10432,WAHAB TRADING,,
10433,WASANA METAL & RUBBER WORKS,,
10434,WATAREKA AGENCIES,,Padukka
10435,WAVERLEY (PVT) LTD,,
